"indicateur","libellés","villes","Unit","Date","Value"
"Evolution des températures  (en °C et dixième)","Températures maximales","Atakpamé","°C","2017M1","34"
"Evolution des températures  (en °C et dixième)","Températures maximales","Atakpamé","°C","2017M2","36"
"Evolution des températures  (en °C et dixième)","Températures maximales","Atakpamé","°C","2017M3","36"
"Evolution des températures  (en °C et dixième)","Températures maximales","Atakpamé","°C","2017M4","34"
"Evolution des températures  (en °C et dixième)","Températures maximales","Atakpamé","°C","2017M5","33"
"Evolution des températures  (en °C et dixième)","Températures maximales","Atakpamé","°C","2017M6","31"
"Evolution des températures  (en °C et dixième)","Températures maximales","Atakpamé","°C","2017M7","29"
"Evolution des températures  (en °C et dixième)","Températures maximales","Atakpamé","°C","2017M8","28"
"Evolution des températures  (en °C et dixième)","Températures maximales","Atakpamé","°C","2017M9","29"
"Evolution des températures  (en °C et dixième)","Températures maximales","Atakpamé","°C","2017M10","32"
"Evolution des températures  (en °C et dixième)","Températures maximales","Atakpamé","°C","2017M11","34"
"Evolution des températures  (en °C et dixième)","Températures maximales","Atakpamé","°C","2017M12","34"
"Evolution des températures  (en °C et dixième)","Températures maximales","Atakpamé","°C","2018M1","33"
"Evolution des températures  (en °C et dixième)","Températures maximales","Atakpamé","°C","2018M2","35"
"Evolution des températures  (en °C et dixième)","Températures maximales","Atakpamé","°C","2018M3","34"
"Evolution des températures  (en °C et dixième)","Températures maximales","Atakpamé","°C","2018M4","33"
"Evolution des températures  (en °C et dixième)","Températures maximales","Atakpamé","°C","2018M5","32"
"Evolution des températures  (en °C et dixième)","Températures maximales","Atakpamé","°C","2018M6","30"
"Evolution des températures  (en °C et dixième)","Températures maximales","Atakpamé","°C","2018M7","29"
